	2007-06-02_1 Relative Abundance (%)	2007-07-05_1 Relative Abundance (%)	2007-08-17_1 Relative Abundance (%)	2007-10-19_1 Relative Abundance (%)	2007-11-09_1 Relative Abundance (%)	2007-12-14_1 Relative Abundance (%)	2008-01-15_1 Relative Abundance (%)	2008-02-20_1 Relative Abundance (%)	2008-04-16_1 Relative Abundance (%)	2008-05-21_1 Relative Abundance (%)	2008-06-11_1 Relative Abundance (%)	2008-08-18_1 Relative Abundance (%)	2008-09-19_1 Relative Abundance (%)	2008-10-08_1 Relative Abundance (%)	2008-11-13_1 Relative Abundance (%)	2008-12-15_1 Relative Abundance (%)	2009-01-12_1 Relative Abundance (%)	2009-02-13_1 Relative Abundance (%)	2009-03-25_1 Relative Abundance (%)	2009-04-17_1 Relative Abundance (%)	2009-05-26_1 Relative Abundance (%)	2009-06-09_1 Relative Abundance (%)	2009-07-20_1 Relative Abundance (%)	2009-08-24_1 Relative Abundance (%)	2009-09-10_1 Relative Abundance (%)	2009-10-19_1 Relative Abundance (%)	2009-11-19_1 Relative Abundance (%)	2009-12-15_1 Relative Abundance (%)
PLAN_48	0.065134615	0.07682719	0.09647794	0.065449156	0.07974411	0.06634717	0.06356943	0.028465325	0.07634085	0.047951836	0.08157172	0.07841954	0.04999545	0.05000993	0.047234252	0.026408259	0.03465889	0.02853723	0.05090093	0.053913075	0.06378161	0.05745613	0.056471597	0.032150555	0.034158528	0.037658233	0.05000358	0.040374134
PROT_67	0.22415425	0.13354477	0.26847008	0.19734259	0.16994043	0.21156414	0.17052384	0.14644298	0.1916037	0.09371288	0.124887206	0.07507754	0.055815816	0.057285767	0.054667722	0.071067736	0.113653705	0.14313331	0.071938306	0.097183295	0.110219836	0.09542018	0.082034774	0.0686636	0.060454115	0.10399067	0.10435996	0.13897632
CHLO_20	0.26780993	0.3478723	0.3245309	0.556995	0.4882566	0.41849357	0.3264663	0.070393726	0.19444264	0.149274	0.21926501	0.16075796	0.39014187	0.44353223	0.4624768	0.3299673	0.30397806	0.20162486	0.15092802	0.056886554	0.12548485	0.19607219	0.35899678	0.15946981	0.1605177	0.21949829	0.31033432	0.17897496
PLAN_20	0.05874708	0.046427574	0.025603486	0.20864412	0.18104321	0.021804394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACT_109	0.2351996	0.14911354	0.1066993	0.042386357	0.16613285	0.09979433	0.024689099	0.09871437	0.06336605	0.22404018	0.16570508	0.19295835	0.11505295	0.04970418	0.11528751	0.06781453	0.038024064	0.122155964	0.15349004	0.15386061	0.2951314	0.1660082	0.29998398	0.33715025	0.25176552	0.21332732	0.48403358	0.21111509
VERR_26	0.15759088	0.2803061	0.3176269	0.57292014	0.30740392	0.19651017	0.09236142	0.029995978	0.121652685	0.1547781	0.43855807	0.12243176	0.5027613	0.17363453	0.48058176	0.07211407	0.18430556	0.06909083	0.13605115	0.15047553	0.17062107	0.15827309	0.19257294	0.08945305	0.11587147	0.24970455	0.3133978	0.08192036
BDEL_20	0.09355304	0.02627108	0	0.10115755	0.12905319	0.18258671	0.03315019	0	0	0	0	0.007770174	0	0	0.047448557	0.008388028	0.007272866	0.013850435	0	0	0	0	0	0	0	0	0	0
UBP7_01	1.1647991	1.18073	0.21711005	0.2390751	0.044045985	0.016700033	0.013924258	0	0	0.016266143	0.013341206	0.01846767	0.024744486	0.022593841	0.016242847	0	0	0	0	0	0	0.02273453	0.02666312	0	0	0	0	0
SPIR_14	0.100952014	0.122399986	0.5981224	0.12084231	0.02311394	0.048469234	0.014590088	0.25276697	0.032884866	0.15760478	0.28081894	0.17176627	0	0	0.022208622	0.014361289	0.006268516	0.067758866	0.15527338	0.06867233	0.05786914	0.05165651	0.101306506	0.37756884	0.19600059	0.1301925	0.09353472	0.07417545
PROT_87	0.1987469	0.22263332	0.14086564	0.09233893	0.23697974	0.16425437	0.12977725	0.112395145	0.049615778	0.054193813	0.12071717	0.10346194	0.10166009	0.09653193	0.16959113	0.2565156	0.16138574	0.10647251	0.1442275	0.18249121	0.1917481	0.15613791	0.1026441	0.147338	0.081795126	0.08657375	0.15712434	0.115574226
BDEL_21	0.27527377	0.027448848	0	0.056945313	0.046214603	0.031196376	0.012461386	0.011498882	0	0.014080994	0.13586137	0.014314791	0.019534398	0	0	0	0	0	0	0	0	0	0.1800639	0	0	0	0	0
VERR_05	0.044032596	0.020738825	0.3524607	0.015833167	0	0	0	0	0	0	0.0487618	0.019396532	0.025864026	0.14013113	0.030191895	0	0	0	0	0	0	0	0.15443583	0.10577707	0.026757782	0	0.03702905	0
ACTI_17	0.889282	0.584978	0.19514172	0.5213586	0.5977036	1.059868	1.8566211	0.34992668	1.8612647	0.74639463	0.68559706	0.6667318	1.1013453	0.6806028	0.60679924	0.47631687	0.9333507	0.6234084	0.6584261	0.8801139	0.83691597	0.76299274	0.4551237	0.3356062	0.44865942	0.4602495	0.34295395	1.0106577
BDEL_22	0.14431481	0.044875152	0	0.053341653	0.080280125	0.08605863	0.035013273	0	0	0.03966557	0.15059707	0.10493047	0	0	0.008881606	0	0	0.021230001	0.012351958	0	0.17453137	0.10687809	0.04385525	0	0.012725269	0.012979397	0	0
ACTI_14	0.16168799	0.33809948	0.28265518	0.09663255	0.08995436	0.21297382	0.11725808	0.1250057	0.06391886	0.2227566	0.39498258	0.22635914	0.10149688	0.07901974	0.18497601	0.07915015	0.05895776	0.057517592	0.13983358	0.13709244	0.34191588	0.27156305	0.3237236	0.21608067	0.15807846	0.119829424	0.15291679	0.20659204
PATE_07	0.06988062	0.08544298	0.12214022	0	0.016549598	0.010054661	0.06785021	0.025056114	0.14385477	0.078491755	0.12758648	0.052213594	0.010302529	0.009509601	0.012309121	0.015593934	0.009583128	0.04655915	0.01713797	0.013893194	0.06338616	0.034491975	0	0	0	0	0	0
PROT_93	0.22400865	0.14369136	0.273686	0.5009011	0.46276185	0.55181736	0.6072607	0.45866197	0.25102445	0.08592843	0.09927465	0.21317819	0.20152484	0.120952785	0.050564755	0.047317628	0.07043143	0.06438811	0.0455323	0.05166058	0.0446208	0.050078027	0.03453546	0.029112814	0.02414216	0.042230915	0.032999985	0.043292742
PLAN_25	0.029206317	0.06750854	0.074329756	0.12901989	0.12064057	0.070185825	0.04245204	0.011574576	0	0.008542953	0.010517275	0.027576432	0.061848573	0.085430495	0.06535569	0.036152866	0.023003325	0.009613615	0.009611236	0	0.009282309	0.020894013	0.08791684	0.062712684	0.094899096	0.11210709	0.06454952	0.028397143
VERR_27	0.034235038	0.044482086	0.16578038	0.10918634	0.117634326	0.055601336	0.045691382	0	0.031302046	0	0.041150752	0.07667127	0.034247153	0.05840473	0.07795702	0.05183364	0.05843646	0.057457324	0.021356149	0.022793695	0.024856748	0.06672186	0.032815292	0.055067115	0.03513445	0.069536306	0.08077182	0.03454099
VERR_21	0.024970284	0.044840932	0.05588177	0.04398635	0.0778954	0.012040173	0.026313536	0.025950074	0.02612037	0.0833021	0.059116118	0.07443289	0	0.00909488	0.06661628	0.038334083	0.05111987	0.06371955	0.12501638	0.07082216	0.07901873	0.07481055	0.04589684	0.047495905	0.03675733	0.117735624	0.039221473	0.05316089
